yc_id,name,yc_slug,batch,status,website,yc_profile_url,roster_source,historical_only,link_status,evidence,crunchbase_slug,crunchbase_url,invalid_source_value,risk_categories,risk_count,risk_unverified_candidate,risk_archive_observed_candidate,risk_source_conflict,risk_url_collision,risk_invalid_source_value,risk_historical_only,risk_invalid_company_website,risk_slug_only_source,risk_sample_validation_failed,risk_sample_validation_unresolved,collision_yc_ids,conflict_datahive_url,conflict_radema_url,manual_validation_status,validated_crunchbase_url,manual_validation_note
26735,Dr. Treat,dr-treat,Summer 2022,Active,https://www.drtreat.com/,https://www.ycombinator.com/companies/dr-treat,yc_oss_current,false,unverified_candidate,yc_slug_inference,dr-treat,https://www.crunchbase.com/organization/dr-treat,https://www.crunchbase.com/person/rakesh-tondon,unverified_candidate;invalid_source_value,2,true,false,false,false,true,false,false,false,false,false,,,,,,
22677,GroMo,gromo,Winter 2021,Active,https://www.gromo.in,https://www.ycombinator.com/companies/gromo,yc_oss_current,false,unverified_candidate,yc_slug_inference,gromo,https://www.crunchbase.com/organization/gromo,https://www.linkedin.com/company/gromofintech/,unverified_candidate;invalid_source_value,2,true,false,false,false,true,false,false,false,false,false,,,,,,
24539,HitPay,hitpay,Summer 2021,Active,https://www.hitpayapp.com,https://www.ycombinator.com/companies/hitpay,yc_oss_current,false,unverified_candidate,yc_slug_inference,hitpay,https://www.crunchbase.com/organization/hitpay,https://www.linkedin.com/company/hit-pay,unverified_candidate;invalid_source_value,2,true,false,false,false,true,false,false,false,false,false,,,,,,
22080,Orange Health Labs,orange-health-labs,Summer 2020,Active,http://www.orangehealth.in,https://www.ycombinator.com/companies/orange-health-labs,yc_oss_current,false,unverified_candidate,yc_slug_inference,orange-health-labs,https://www.crunchbase.com/organization/orange-health-labs,https://www.youtube.com/c/OrangeHealthLab,unverified_candidate;invalid_source_value,2,true,false,false,false,true,false,false,false,false,false,,,,,,
13230,Salesform,salesform,Summer 2020,Active,https://salesform.com,https://www.ycombinator.com/companies/salesform,yc_oss_current,false,unverified_candidate,yc_slug_inference,salesform,https://www.crunchbase.com/organization/salesform,https://pitchbook.com/profiles/company/483493-87#overview,unverified_candidate;invalid_source_value,2,true,false,false,false,true,false,false,false,false,false,,,,,,
25444,Touch and Pay Technologies Limited,touch-and-pay-technologies-limited,Winter 2022,Active,https://touchandpay.me/,https://www.ycombinator.com/companies/touch-and-pay-technologies-limited,yc_oss_current,false,unverified_candidate,yc_slug_inference,touch-and-pay-technologies-limited,https://www.crunchbase.com/organization/touch-and-pay-technologies-limited,Touch and pay technologies Limited,unverified_candidate;invalid_source_value,2,true,false,false,false,true,false,false,false,false,false,,,,,,
25541,Versable,versable,Winter 2022,Active,https://www.versableai.com/,https://www.ycombinator.com/companies/versable,yc_oss_current,false,unverified_candidate,yc_slug_inference,versable,https://www.crunchbase.com/organization/versable,https://www.linkedin.com/company/versableai,unverified_candidate;invalid_source_value,2,true,false,false,false,true,false,false,false,false,false,,,,,,
29496,VoxOps AI,voxops-ai,Winter 2024,Active,https://www.voxopsai.com/,https://www.ycombinator.com/companies/voxops-ai,yc_oss_current,false,unverified_candidate,yc_slug_inference,voxops-ai,https://www.crunchbase.com/organization/voxops-ai,https://www.google.com/search?q=konstructly+crunchbase&rlz=1C5CHFA_enRS948RS948&oq=konstructly+crunchbase&gs_lcrp=EgZjaHJvbWUyBggAEEUYOTIGCAEQABgeMgYIAhBFGEAyBggDEEUYPdIBCDMzNzJqMGo3qAIAsAIA&sourceid=chrome&ie=UTF-8,unverified_candidate;invalid_source_value,2,true,false,false,false,true,false,false,false,false,false,,,,,,
23167,Worksphere,worksphere,Winter 2021,Acquired,https://www.worksphere.com,https://www.ycombinator.com/companies/worksphere,yc_oss_current,false,unverified_candidate,yc_slug_inference,worksphere,https://www.crunchbase.com/organization/worksphere,https://www.crunchbase.com/organizations/worksphere,unverified_candidate;invalid_source_value,2,true,false,false,false,true,false,false,false,false,false,,,,,,
