"company","batch","yc_url"
"Kastle","S24","https://www.ycombinator.com/companies/kastle"
"Kontigo","S24","https://www.ycombinator.com/companies/kontigo"
"Kopra Bio","S24","https://www.ycombinator.com/companies/kopra-bio"
"Lilac Labs","S24","https://www.ycombinator.com/companies/lilac-labs"
"Lucible","S24","https://www.ycombinator.com/companies/lucible"
"mdhub","S24","https://www.ycombinator.com/companies/mdhub"
"Mica AI","S24","https://www.ycombinator.com/companies/mica-ai"
"Mineflow","S24","https://www.ycombinator.com/companies/mineflow"
"Miru","S24","https://www.ycombinator.com/companies/miru-ml"
"Moreta","S24","https://www.ycombinator.com/companies/moreta"
"Offstream","S24","https://www.ycombinator.com/companies/offstream"
"omnidock","S24","https://www.ycombinator.com/companies/omnidock"
"OrgOrg","S24","https://www.ycombinator.com/companies/orgorg"
"Outerport","S24","https://www.ycombinator.com/companies/outerport"
"Paasa","S24","https://www.ycombinator.com/companies/paasa"
"Patched","S24","https://www.ycombinator.com/companies/patched"
"Phonely","S24","https://www.ycombinator.com/companies/phonely"
"Pinnacle","S24","https://www.ycombinator.com/companies/pinnacle"
"Promi","S24","https://www.ycombinator.com/companies/promi"
"Pulse","S24","https://www.ycombinator.com/companies/pulse-3"
"ReactWise","S24","https://www.ycombinator.com/companies/reactwise"
"RetroFix","S24","https://www.ycombinator.com/companies/retrofix"
"Saldor","S24","https://www.ycombinator.com/companies/saldor"
"SchemeFlow","S24","https://www.ycombinator.com/companies/schemeflow"
"Sonatoria","S24","https://www.ycombinator.com/companies/sonatoria"
"Spaceium Inc","S24","https://www.ycombinator.com/companies/spaceium-inc"
"Spherecast","S24","https://www.ycombinator.com/companies/spherecast"
"Stempad","S24","https://www.ycombinator.com/companies/stempad"
"SureBright","S24","https://www.ycombinator.com/companies/surebright"
"Synnax","S24","https://www.ycombinator.com/companies/synnax"
"Tabula","S24","https://www.ycombinator.com/companies/tabula"
"The Synthesis Company","S24","https://www.ycombinator.com/companies/the-synthesis-company"
"Theseus","S24","https://www.ycombinator.com/companies/theseus"
"Vendra","S24","https://www.ycombinator.com/companies/vendra"
"VideoGen","S24","https://www.ycombinator.com/companies/videogen"
"Village Labs","S24","https://www.ycombinator.com/companies/village-labs"
"Weave Robotics","S24","https://www.ycombinator.com/companies/weave-robotics"
"XTraffic","S24","https://www.ycombinator.com/companies/xtraffic"
"Zeit AI","S24","https://www.ycombinator.com/companies/zeit-ai"
"Afternoon.co","F24","https://www.ycombinator.com/companies/afternoon-co"
"Apolink","F24","https://www.ycombinator.com/companies/apolink"
"Asha Health","F24","https://www.ycombinator.com/companies/asha-health"
"Beglaubigt.de","F24","https://www.ycombinator.com/companies/beglaubigtde"
"Canvas","F24","https://www.ycombinator.com/companies/canvas"
"Cekura","F24","https://www.ycombinator.com/companies/cekura-ai"
"Charm","F24","https://www.ycombinator.com/companies/withcharm"
"Clarus","F24","https://www.ycombinator.com/companies/clarus"
"CollectWise","F24","https://www.ycombinator.com/companies/collectwise"
"Crouton","F24","https://www.ycombinator.com/companies/crouton"
