"yc_id","name","slug","batch","status","launched_at","website","yc_profile_url"
"29798","&AI","ai-2","S24","Active","2024-07-02T16:44:07.000Z","https://www.tryandai.com/","https://www.ycombinator.com/companies/ai-2"
"29733","1849 bio","1849-bio","S24","Active","2024-07-09T20:48:55.000Z","https://www.1849.bio","https://www.ycombinator.com/companies/1849-bio"
"29558","Abel Police","abel-police","S24","Active","2024-08-29T23:45:31.000Z","http://abelpolice.com","https://www.ycombinator.com/companies/abel-police"
"29406","ACX","acx","S24","Active","2024-07-25T19:57:05.000Z","https://www.acxtherapeutics.com/","https://www.ycombinator.com/companies/acx"
"29972","Affil.ai","affil-ai","S24","Active","2024-08-18T18:00:01.000Z","https://affil.ai/","https://www.ycombinator.com/companies/affil-ai"
"29723","Aluna","aluna","S24","Active","2024-08-15T23:10:54.000Z","https://alunadata.com","https://www.ycombinator.com/companies/aluna"
"29694","AminoAnalytica","aminoanalytica","S24","Active","2024-05-17T16:13:54.000Z","https://www.aminoanalytica.com","https://www.ycombinator.com/companies/aminoanalytica"
"29738","Anara","anara","S24","Active","2024-05-13T15:54:15.000Z","https://anara.com","https://www.ycombinator.com/companies/anara"
"29957","Anglera","anglera","S24","Active","2024-07-01T23:08:24.000Z","https://www.anglera.com/","https://www.ycombinator.com/companies/anglera"
"29532","Ångström AI","angstrom-ai","S24","Active","2024-06-25T21:23:09.000Z","https://www.angstrom-ai.com","https://www.ycombinator.com/companies/angstrom-ai"
"29713","Anthrogen","anthrogen","S24","Active","2024-06-07T19:54:25.000Z","https://anthrogen.com","https://www.ycombinator.com/companies/anthrogen"
"29571","Apten","apten","S24","Active","2024-05-15T15:37:23.000Z","https://www.apten.ai/","https://www.ycombinator.com/companies/apten"
"29680","Ares Industries","ares-industries","S24","Active","2024-08-20T22:46:18.000Z","https://aresindustries.com","https://www.ycombinator.com/companies/ares-industries"
"29813","Argil","argil","S24","Active","2024-07-04T16:47:13.000Z","https://www.argil.ai/","https://www.ycombinator.com/companies/argil"
"29973","Arva AI","arva-ai","S24","Active","2024-07-17T06:16:33.000Z","https://www.arva.ai","https://www.ycombinator.com/companies/arva-ai"
"29824","Assembly HOA","assembly-hoa","S24","Active","2024-07-08T18:40:41.000Z","https://assemblyhoa.com","https://www.ycombinator.com/companies/assembly-hoa"
"29823","autarc","autarc","S24","Active","2024-07-11T16:21:10.000Z","https://www.autarc.energy/global","https://www.ycombinator.com/companies/autarc"
"29698","AutoPallet Robotics","autopallet-robotics","S24","Active","2024-08-12T21:05:00.000Z","https://autopallet.bot","https://www.ycombinator.com/companies/autopallet-robotics"
"29753","Autumn Labs","autumn-labs","S24","Active","2024-08-28T03:51:15.000Z","https://www.autumnlabs.io/","https://www.ycombinator.com/companies/autumn-labs"
"29657","Azalea Robotics Corporation","azalea-robotics-corporation","S24","Active","2024-08-14T20:41:46.000Z","https://azalearobotics.com/","https://www.ycombinator.com/companies/azalea-robotics-corporation"
"29794","Baseline AI","baseline-ai","S24","Inactive","2024-08-21T00:17:57.000Z","https://www.baselinetrials.com/","https://www.ycombinator.com/companies/baseline-ai"
"29636","Bayesline","bayesline","S24","Active","2024-08-01T20:13:43.000Z","https://bayesline.com","https://www.ycombinator.com/companies/bayesline"
"29758","BeeBettor","beebettor","S24","Active","2024-06-17T17:56:53.000Z","https://beebettor.com","https://www.ycombinator.com/companies/beebettor"
"29712","Benchify","benchify","S24","Active","2024-08-01T20:33:45.000Z","https://www.benchify.com","https://www.ycombinator.com/companies/benchify"
"29749","Biocartesian","biocartesian","S24","Active","2024-08-29T07:10:15.000Z","https://www.biocartesian.com","https://www.ycombinator.com/companies/biocartesian"
"29982","Bits to Atoms","bits-to-atoms","S24","Active","2024-08-20T04:40:54.000Z","https://bitstoatoms.com/","https://www.ycombinator.com/companies/bits-to-atoms"
"29840","Blaze","blaze-2","S24","Active","2024-08-30T01:26:46.000Z","https://blaze.money","https://www.ycombinator.com/companies/blaze-2"
"29810","bluedoor","bluedoor","S24","Active","2024-08-11T20:26:53.000Z","https://bluedoor.sh/","https://www.ycombinator.com/companies/bluedoor"
"29775","Brighterway","brighterway","S24","Active","2024-07-16T23:35:01.000Z","https://www.brighterway.ai/","https://www.ycombinator.com/companies/brighterway"
"29955","BrowserOS","browseros","S24","Active","2024-07-31T23:36:38.000Z","https://BrowserOS.com/","https://www.ycombinator.com/companies/browseros"
"29847","Bucket Robotics","bucket-robotics","S24","Active","2024-06-21T20:24:51.000Z","https://bucket.bot","https://www.ycombinator.com/companies/bucket-robotics"
"29639","Callback","callback","S24","Active","2024-08-13T23:11:33.000Z","https://getcallback.ai","https://www.ycombinator.com/companies/callback"
"29688","camfer","camfer","S24","Active","2024-09-10T22:47:06.000Z","https://www.camfer.dev/","https://www.ycombinator.com/companies/camfer"
"29963","Capitol AI","capitol-ai","S24","Active","2024-08-27T02:12:41.000Z","https://www.capitol.ai/","https://www.ycombinator.com/companies/capitol-ai"
"29791","Cartage","cartage","S24","Active","2024-05-28T16:50:52.000Z","https://cartage.ai","https://www.ycombinator.com/companies/cartage"
"29327","Central","central","S24","Acquired","2024-05-24T14:30:30.000Z","https://centralhq.com","https://www.ycombinator.com/companies/central"
"29781","Cerulion","cerulion","S24","Active","2024-07-08T23:09:48.000Z","https://www.cerulion.com","https://www.ycombinator.com/companies/cerulion"
"29582","Cheers","cheers","S24","Active","2024-07-19T18:30:14.000Z","https://www.cheers.tech","https://www.ycombinator.com/companies/cheers"
"29613","ClaimSorted","claimsorted","S24","Active","2024-05-14T18:38:20.000Z","https://claimsorted.com","https://www.ycombinator.com/companies/claimsorted"
"29729","Clearly AI","clearly-ai","S24","Active","2024-07-29T16:06:11.000Z","https://clearly-ai.com","https://www.ycombinator.com/companies/clearly-ai"
"29665","Cloudglue","cloudglue","S24","Active","2024-08-08T19:53:38.000Z","https://cloudglue.dev","https://www.ycombinator.com/companies/cloudglue"
"29719","cmux","cmux","S24","Active","2024-05-18T00:31:35.000Z","https://www.cmux.com","https://www.ycombinator.com/companies/cmux"
"29627","Codes Health","codes-health","S24","Active","2024-07-26T00:35:21.000Z","https://www.codeshealth.com/","https://www.ycombinator.com/companies/codes-health"
"29683","CodeViz","codeviz","S24","Active","2024-08-14T03:56:49.000Z","https://www.codeviz.ai/","https://www.ycombinator.com/companies/codeviz"
"29596","Comfy Deploy","comfy-deploy","S24","Active","2024-07-21T18:28:51.000Z","https://comfydeploy.com","https://www.ycombinator.com/companies/comfy-deploy"
"29989","Conductor","conductor","S24","Active","2024-09-02T18:16:52.000Z","https://conductor.build","https://www.ycombinator.com/companies/conductor"
"29754","Conductor Quantum","conductor-quantum","S24","Active","2024-06-12T19:08:36.000Z","https://www.conductorquantum.com","https://www.ycombinator.com/companies/conductor-quantum"
"29717","Conveo","conveo","S24","Active","2024-06-20T13:24:53.000Z","https://conveo.ai/","https://www.ycombinator.com/companies/conveo"
"29646","Corgi Insurance","corgi-insurance","S24","Active","2024-07-10T20:45:16.000Z","https://corgi.com","https://www.ycombinator.com/companies/corgi-insurance"
"29524","Coval","coval","S24","Active","2024-09-03T05:36:56.000Z","https://coval.dev","https://www.ycombinator.com/companies/coval"
"29716","CreativeMode","creativemode","S24","Active","2024-08-07T23:31:06.000Z","https://creativemode.net","https://www.ycombinator.com/companies/creativemode"
"29703","d_model","d_model","S24","Active","2024-08-30T17:52:33.000Z","https://www.dmodel.ai","https://www.ycombinator.com/companies/d_model"
"29807","Dataleap","dataleap","S24","Active","2024-07-29T02:08:53.000Z","https://dataleap.ai/","https://www.ycombinator.com/companies/dataleap"
"29759","David AI","david-ai","S24","Active","2024-07-11T01:38:23.000Z","https://www.withdavid.ai/","https://www.ycombinator.com/companies/david-ai"
"29852","Dayflow","dayflow","S24","Active","2024-09-03T00:26:28.000Z","https://www.dayflow.so","https://www.ycombinator.com/companies/dayflow"
"29655","Decisional AI","decisional-ai","S24","Active","2024-08-13T07:10:13.000Z","https://www.decisional.com/","https://www.ycombinator.com/companies/decisional-ai"
"29747","deepsilicon","deepsilicon","S24","Inactive","2024-08-26T04:44:38.000Z","https://www.deepsilicon.net/","https://www.ycombinator.com/companies/deepsilicon"
"29672","DeepSim, Inc.","deepsim-inc","S24","Active","2024-08-15T20:46:15.000Z","https://www.deepsim.io","https://www.ycombinator.com/companies/deepsim-inc"
"29695","Dench.com","dench-com","S24","Active","2024-07-07T06:33:52.000Z","https://dench.com","https://www.ycombinator.com/companies/dench-com"
"29635","DigitalCarbon","digitalcarbon","S24","Active","2024-09-02T18:16:15.000Z","https://www.digitalcarbon.ai","https://www.ycombinator.com/companies/digitalcarbon"
"29741","Dimely","dimely","S24","Active","2024-08-08T08:05:43.000Z","https://dimely.com/","https://www.ycombinator.com/companies/dimely"
"29851","Diode Computers, Inc.","diode-computers-inc","S24","Active","2024-08-01T18:15:01.000Z","https://diode.computer","https://www.ycombinator.com/companies/diode-computers-inc"
