"yc_id","name","slug","batch","status","launched_at","website","yc_profile_url"
"36348","antimattr","antimattr","F26","Active","2026-08-16T23:20:49.000Z","https://antimattr.one/","https://www.ycombinator.com/companies/antimattr"
"35290","Antropi Robotics","antropi-robotics","F26","Active","2026-08-09T14:15:17.000Z","https://www.antropi.world/","https://www.ycombinator.com/companies/antropi-robotics"
"35058","Capveon","capveon","F26","Active","2026-08-19T17:36:28.000Z","https://capveon.ai","https://www.ycombinator.com/companies/capveon"
"31461","Collar","collar","F26","Active","2026-04-25T09:57:03.000Z","https://usecollarai.com","https://www.ycombinator.com/companies/collar"
"36084","Covera","covera","F26","Active","2026-08-21T14:58:58.000Z","https://www.covera-agents.com/","https://www.ycombinator.com/companies/covera"
"31452","Degla Inc","degla-inc","F26","Active","2026-04-07T14:06:47.000Z","https://degla.ai","https://www.ycombinator.com/companies/degla-inc"
"35094","Forward","useforward","F26","Active","2026-08-06T00:26:11.000Z","https://www.useforward.co/","https://www.ycombinator.com/companies/useforward"
"31378","GodHands","godhands","F26","Active","2026-04-25T21:09:59.000Z","https://godhands.dev","https://www.ycombinator.com/companies/godhands"
"35522","Hemlock","hemlock","F26","Active","2026-08-11T23:35:05.000Z","https://hemlock.info","https://www.ycombinator.com/companies/hemlock"
"34464","herdr","herdr","F26","Active","2026-08-06T17:52:18.000Z","https://herdr.dev/","https://www.ycombinator.com/companies/herdr"
"34365","Lambda Robotics","lambda-robotics","F26","Active","2026-07-30T04:26:51.000Z","https://lambdarobotics.ai","https://www.ycombinator.com/companies/lambda-robotics"
"35190","Lantern AI","lantern-ai","F26","Active","2026-08-18T05:16:46.000Z","https://www.lantern.md","https://www.ycombinator.com/companies/lantern-ai"
"33804","Lightfield","lightfield","F26","Active","2026-08-15T23:12:12.000Z","https://trylightfield.ai","https://www.ycombinator.com/companies/lightfield"
"34794","Qokedas","qokedas","F26","Active","2026-08-03T22:11:13.000Z","https://qokedas.com/","https://www.ycombinator.com/companies/qokedas"
"36940","Quippy","quippy","F26","Active","2026-08-26T16:13:52.000Z","https://quippyapp.com","https://www.ycombinator.com/companies/quippy"
"37600","Redoubt Insurance","redoubt-insurance","F26","Active","2026-08-26T01:29:24.000Z","https://www.redoubt.agency","https://www.ycombinator.com/companies/redoubt-insurance"
"31591","RightNow","rightnow","F26","Active","2026-05-22T18:32:36.000Z","https://runinfra.ai/","https://www.ycombinator.com/companies/rightnow"
"34597","Sentient OS","sentient-os","F26","Active","2026-08-24T11:45:28.000Z","https://sentient-os.ai","https://www.ycombinator.com/companies/sentient-os"
"33838","Simantic","simantic","F26","Active","2026-06-24T18:58:05.000Z","https://simantic.dev","https://www.ycombinator.com/companies/simantic"
"34629","Simulithic","simulithic","F26","Active","2026-08-11T17:20:33.000Z","https://simulithic.com","https://www.ycombinator.com/companies/simulithic"
"35128","Talos","talos-us","F26","Active","2026-08-26T16:57:46.000Z","https://www.talos-us.com/","https://www.ycombinator.com/companies/talos-us"
"34761","Veeza AI","veeza-ai","F26","Active","2026-08-16T05:35:36.000Z","https://veeza.ai","https://www.ycombinator.com/companies/veeza-ai"
"35784","Vorelios","vorelios","F26","Active","2026-08-11T03:09:29.000Z","https://vorelios.com","https://www.ycombinator.com/companies/vorelios"
